organism_uuid,gene_uuid
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,25bd1ac2-e4bf-4c27-a0ed-743eb87d71c3
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,6c62f958-6274-4de8-ab59-a311a0eedbe4
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,0406c0bf-2f99-4cae-8506-6a203f2a5888
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,c4bc0795-a83d-4ad9-b082-79fee542e69f
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,da140f3e-8e6e-4490-b405-4ae2159a73a9
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,0ab0235a-e1db-4216-91e2-6ef964a4f8ab
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,2de432be-a7fc-4601-ac2e-73050f523d6f
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,7fb97ea0-68f6-4feb-881e-48e355257be8
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,ccaf59b0-98f0-41ec-a1c3-77364ec61ba2
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,a19c6fbb-b3e0-4499-893a-b4904f50491f
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,f8f8ac29-49ec-4266-bb15-8c952a3cc3fd
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,532978c2-e398-46e1-9c16-493c4fd286b2
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,9251631f-8ac0-4d4b-97ea-732ba2ef4804
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,2baf63ec-9638-4b1b-b7dc-308c22e4b1ca
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,fb5828bd-fac8-4cee-939a-bac6c977e7da
6eeb1944-b25f-4819-bb9e-9f3bfd6e06c9,62ebd616-25e9-4e3b-80ab-3b030240f678
a5c50851-1967-4e8a-9b50-72a193b2ec71,832a8717-a584-4a70-a4fa-6a084e666a52
a5c50851-1967-4e8a-9b50-72a193b2ec71,3c49fe90-3e64-4ed2-b8fa-91771f495d0c
a5c50851-1967-4e8a-9b50-72a193b2ec71,b502edae-e99c-46da-8fdc-0ece5518948a
a5c50851-1967-4e8a-9b50-72a193b2ec71,78b580ce-0908-499b-a322-cabc8edffe2f
