study_uuid,folder_uuid
e8e03977-43b0-4c42-a3a5-a58947f4caa4,11c594c2-b76f-4f1b-81c8-114168235dbb
a1595111-eb07-4c3a-84ce-a020ea1e465b,11c594c2-b76f-4f1b-81c8-114168235dbb
e8e03977-43b0-4c42-a3a5-a58947f4caa4,9870987d-18ca-46e7-8c22-0aafe9773e72
a1595111-eb07-4c3a-84ce-a020ea1e465b,9870987d-18ca-46e7-8c22-0aafe9773e72
e8e03977-43b0-4c42-a3a5-a58947f4caa4,1ef2a602-0dfb-44ce-8e5f-a974c666ee9d
a1595111-eb07-4c3a-84ce-a020ea1e465b,1ef2a602-0dfb-44ce-8e5f-a974c666ee9d
e8e03977-43b0-4c42-a3a5-a58947f4caa4,157d6770-f5b3-47bd-9bed-1f447b1dbc4d
a1595111-eb07-4c3a-84ce-a020ea1e465b,157d6770-f5b3-47bd-9bed-1f447b1dbc4d
e8e03977-43b0-4c42-a3a5-a58947f4caa4,63d0e147-b8c7-4bdf-8479-0c1219dd9467
a1595111-eb07-4c3a-84ce-a020ea1e465b,63d0e147-b8c7-4bdf-8479-0c1219dd9467
e8e03977-43b0-4c42-a3a5-a58947f4caa4,e2ebe77e-78b0-4383-96aa-44632376bd81
a1595111-eb07-4c3a-84ce-a020ea1e465b,e2ebe77e-78b0-4383-96aa-44632376bd81
e8e03977-43b0-4c42-a3a5-a58947f4caa4,7d51f5cc-bf97-4291-9e35-620011a9cb47
a1595111-eb07-4c3a-84ce-a020ea1e465b,7d51f5cc-bf97-4291-9e35-620011a9cb47
e8e03977-43b0-4c42-a3a5-a58947f4caa4,ef7663de-2a7e-4120-bfe7-cf4d07dcc842
a1595111-eb07-4c3a-84ce-a020ea1e465b,ef7663de-2a7e-4120-bfe7-cf4d07dcc842
e8e03977-43b0-4c42-a3a5-a58947f4caa4,72769c37-89e3-4e6f-a990-1e17fddbe9c0
a1595111-eb07-4c3a-84ce-a020ea1e465b,72769c37-89e3-4e6f-a990-1e17fddbe9c0
