treatment_uuid,folder_uuid
5a1da1f4-1598-4bc0-bfc3-17b66191a53a,c6dc6d6b-f088-4a43-b08b-8ce5644d7598
bf2f92c4-2013-481f-b76f-a7366939b664,a41e5944-81ff-45d3-8892-c528ec900cf4
0c5deebf-8a32-4cc1-8ae3-ba5b6954c9cf,a41e5944-81ff-45d3-8892-c528ec900cf4
06eb45cf-1372-424e-bbc6-cf9eec692b6b,a41e5944-81ff-45d3-8892-c528ec900cf4
71efb593-e707-4bae-a546-427b9d4d2dca,27682f6e-f7c6-4b8e-92b7-3b17cc332751
5a1da1f4-1598-4bc0-bfc3-17b66191a53a,60e33065-a057-48c5-a0e7-c9bf016608ac
bf2f92c4-2013-481f-b76f-a7366939b664,15422455-7c36-435a-a4ed-26e80420e25c
0c5deebf-8a32-4cc1-8ae3-ba5b6954c9cf,15422455-7c36-435a-a4ed-26e80420e25c
68a3332a-ec4e-4c5f-865f-b4ed4b09c5b4,15422455-7c36-435a-a4ed-26e80420e25c
bf2f92c4-2013-481f-b76f-a7366939b664,eff450ac-3446-452a-a843-5e7407c646c6
8cd54713-ddcb-4d2f-89be-51e05cabf99d,eff450ac-3446-452a-a843-5e7407c646c6
a409630a-f09a-4ee6-8877-24ba552c1be8,7a9aecb3-d22a-4bd7-9e10-5818ce5ef9db
bf2f92c4-2013-481f-b76f-a7366939b664,fb7cb3d1-1770-4379-8b05-cff5468bed09
01c06a8b-996d-46ce-b8de-58509ba71136,fb7cb3d1-1770-4379-8b05-cff5468bed09
d5d80940-a211-4233-9d00-81d98e3079bb,fb7cb3d1-1770-4379-8b05-cff5468bed09
d9c94795-70d3-4815-9f58-cfbbfd13b084,fb7cb3d1-1770-4379-8b05-cff5468bed09
d5d80940-a211-4233-9d00-81d98e3079bb,dd9adfea-bfb4-435f-9a75-d48670f5bf51
71efb593-e707-4bae-a546-427b9d4d2dca,abe9b3c1-581b-4de2-99c3-85a5d99a5a62
ddc6ee37-edeb-4ba5-80d9-3a2948967296,751097b0-0974-4aa2-8408-73ab53e5bdba
